dato,atributos,tipo,longitud ,formato,rango,explicacion,observaciones,aprobado cliente
ciudad,id_ciudad,INTEGER,,,,,,
,nom_ciudad,VARCHAR,,,,,,
,indicativo,VARCHAR,,,,,,
presentacion,id_presentacion,INTEGER,,,,,,
,nom_presentacion,VARCHAR,,,,,,
,descripcion_presentacion,VARCHAR,,,,,,
cargo,id_cargo,INTEGER,,,,,,
,nom_cargo,VARCHAR,,,,,,
,jefe,INTEGER,,,,,,
,reemplazo,INTEGER,,,,,,
,observaciones,VARCHAR,,,,,,
origen,id_origen,INTEGER,,,,,,
,nom_origen,VARCHAR,,,,,,
,desc_origen,VARCHAR,,,,,,
sector,id_sector,INTEGER,,,,,,
,nom_sector,VARCHAR,,,,,,
equipo,id_equipo,INTEGER,,,,,,
,nom_equipo,VARCHAR,,,,,,
,ref_documental,VARCHAR,,,,,,
metodo,id_metodo,INTEGER,,,,,,
,nom_metodo,VARCHAR,,,,,,
,desc_metodo,VARCHAR,,,,,,
,ref_documental,VARCHAR,,,,,,
,observaciones,VARCHAR,,,,,,
,material,VARCHAR,,,,,,
grupo,id_grupo,INTEGER,,,,,,
,nom_grupo,VARCHAR,,,,,,
,desc_grupo,VARCHAR,,,,,,
control_material,id_control_material,INTEGER,,,,,,
,lote_material,VARCHAR,,,,,,
,id_material_de_control,VARCHAR,,,,,,
,lote_material_de_control,VARCHAR,,,,,,
,especificacion,VARCHAR,,,,,,
,resultado,VARCHAR,,,,,,
,fecha_resultado,DATETIME,,,,,,
,concepto,BOOLEAN,,,,,,
metodo_equipo,id_metodo,INTEGER,,,,,,
,id_equipo,INTEGER,,,,,,
analisis,id_analisis,INTEGER,,,,,,
,nom_analisis,VARCHAR,,,,,,
,id_sector,INTEGER,,,,,,
,descripcion,VARCHAR,,,,,,
,ref_documental,VARCHAR,,,,,,
empresa,id_empresa,INTEGER,,,,,,
,id_ciudad,INTEGER,,,,,,
,nit_empresa,INTEGER,,,,,,
,cod_verificacion,INTEGER,,,,,,
,nom_empresa,VARCHAR,,,,,,
,direccion,VARCHAR,,,,,,
,pagina,VARCHAR,,,,,,
,correo,VARCHAR,,,,,,
,descripcion,VARCHAR,,,,,,
,observaciones,VARCHAR,,,,,,
utiliza,id_utiliza,INTEGER,,,,,,
,id_analisis,INTEGER,,,,,,
,id_metodo,INTEGER,,,,,,
agrupacion,id_agrupacion,INTEGER,,,,,,
,id_grupo,INTEGER,,,,,,
,id_analisis,INTEGER,,,,,,
cliente,id_cliente,INTEGER,,,,,,
,id_empresa,INTEGER,,,,,,
,retencion,FLOAT,,,,,,
,IVA,FLOAT,,,,,,
,ICA,FLOAT,,,,,,
,fecha_inicio,DATETIME,,,,,,
,fecha_final,DATETIME,,,,,,
,descripcion,VARCHAR,,,,,,
producto,id_producto,INTEGER,,,,,,
,id_cliente,INTEGER,,,,,,
,id_sector,INTEGER,,,,,,
,forma_farmaceutica,VARCHAR,,,,,,
,nom_producto,VARCHAR,,,,,,
muestra,id_muestra,INTEGER,,,,,,
,id_producto,INTEGER,,,,,,
,id_origen,INTEGER,,,,,,
,presentacion,VARCHAR,,,,,,
,lote_muestra,VARCHAR,,,,,,
,ingreso_muestra,DATETIME,,,,,,
,descripcion,VARCHAR,,,,,,
,tamano_muestra,INTEGER,,,,,,
,unidades_tamano,VARCHAR,,,,,¿por qué separar?,
,solicitado,VARCHAR,,,,,¿cuál es su uso?,
,aceptada,BOOLEAN,,,,,,
,registra,INTEGER,,,,,,
,verifica,INTEGER,,,,,el registro?,
,terminada,BOOLEAN,,,,,,
,concepto,BOOLEAN,,,,,,
,aprueba,VARCHAR,,,,,aprueba qué?,
,fecha_final,DATETIME,,,,,,
,factura,INTEGER,,,,,,
,observaciones_muestra_inicio,VARCHAR,,,,,,
,observaciones_muestra_fin,VARCHAR,,,,,,
debe tener,id_debe_tener,INTEGER,,,,,,
,id_producto,INTEGER,,,,,,
,id_grupo,INTEGER,,,,,,
especificacion,id_especificacion,INTEGER,,,,,,
,id_debe_tener,INTEGER,,,,,,
,id_utiliza,INTEGER,,,,,,
,id_material_controlado,INTEGER,,,,,,
,valor,VARCHAR,,,,,,
lectura,id_lectura,INTEGER,,,,,,
,id_especificacion,INTEGER,,,,,,
,id_muestra,INTEGER,,,,,,
,valor_lectura,VARCHAR,,,,,,
,fecha_lectura,DATETIME,,,,,,
,lote_medio,VARCHAR,,,,,,
,registra,INTEGER,,,,,,
,verifica,INTEGER,,,,,,
,concepto,BOOLEAN,,,,,,
,observaciones,VARCHAR,,,,,,
material_de_control,id_material,INTEGER,,,,,,
,nom_material,VARCHAR,,,,,,
